#COURSE,NAME,CREDITS,SEMESTER,PRE-REQUISITES,CO-REQUISITES
MTH-111,Calculus 1,4,1,,,
CHM-115,Elements and Compounds,3,1,,CHM-113,
CHM-113,Elements and Compunds Lab,1,1,,CHM-115,
ENG-101,Composition,4,1,,,
FYF-101,First-Year Foundations,3,1,,,
MTH-112,Calculus 2,4,2,MTH-111,,
PHY-201,General Physics 1,4,2,,MTH-111,
EGR-140,Computational & Statistical Analysis,3,2,,MTH-111,
MTH-211,Intro. to Ordinary Differential Equations,4,3,MTH-112,,
PHY-202,General Physics 2,3,3,PHY-201,MTH-112,
MTH-212,Multivariable Calculus,4,4,MTH-112,,
PHY-203,General Physics 3,3,4,PHY-202,,
PHY-311,Thermodynamics & Statistical Mechanics,3,5,PHY-203:MTH-211,,
PHY-312,Analytical Mechanics,3,5,PHY-202:MTH-211,,
EE-337,Engineering Electromagnetics 1,4,5,EGR-214:PHY-202,,
PHY-314,Quantum Mechanics,3,6,PHY-203:CHM-115:MTH-211:MTH-212,,
PHY-391,Senior Project 1,1,7,,,
PHY-392,Senior Project 2,2,8,,,
